şarkı,lemmatized_str
Ağla Kalbim,hayat kalp gözlemek Özlem kalp Özlem hayat gitmek yollamak Rüya beklemek gece yalnız gece gelmek gitmek hayat Rüya hayat gece beklemek gitmek beklemek gözlemek beklemek gelmek gece gece yollamak gece hayat gelmek gitmek yalnız aşk gözlemek Özlem Rüya gitmek yollamak gözlemek gözlemek gitmek kalp yollamak hayat beklemek gözlemek kalp gece Rüya Özlem kalp gelmek kalp yalnız gitmek hayat yalnız yollamak gelmek gece beklemek Rüya hayat hayat gözlemek Özlem aşk kalp gelmek aşk Rüya gece yalnız Özlem kalp gece aşk gitmek Özlem kalp yalnız aşk gitmek gitmek beklemek gelmek Rüya beklemek yalnız beklemek Rüya kalp kalp Özlem gözlemek hayat Özlem kalp yalnız Özlem gelmek yollamak kalp Özlem hayat hayat gitmek aşk yalnız gitmek Rüya gelmek aşk yollamak gözlemek aşk aşk Özlem gitmek Rüya gelmek aşk hayat aşk Rüya gitmek gece yalnız beklemek beklemek aşk gitmek beklemek hayat Özlem gelmek aşk gözlemek yalnız gözlemek gözlemek gelmek yollamak Rüya hayat hayat Rüya gözlemek gitmek beklemek gece yalnız Rüya gelmek hayat Rüya yalnız Rüya kalp hayat Özlem aşk gece beklemek hayat yalnız beklemek hayat gitmek beklemek hayat gelmek kalp yollamak kalp aşk kalp yollamak aşk Özlem gözlemek hayat aşk beklemek yollamak gitmek beklemek kalp yalnız gece gelmek beklemek gözlemek Özlem yollamak aşk beklemek beklemek hayat yollamak Rüya hayat gelmek Özlem yalnız gözlemek yollamak aşk yollamak gelmek Özlem Rüya aşk yalnız yalnız gelmek gözlemek aşk Rüya yollamak gitmek Rüya yalnız yalnız kalp yalnız aşk gözlemek Özlem kalp yollamak yollamak Özlem gitmek beklemek gece gitmek Rüya hayat hayat yollamak gitmek Rüya kalp beklemek hayat Özlem aşk kalp gelmek Rüya gelmek gözlemek yalnız gözlemek gelmek gelmek gözlemek aşk yollamak hayat beklemek gelmek beklemek gelmek Özlem gözlemek yollamak yalnız beklemek Özlem gece gözlemek hayat gözlemek Rüya gözlemek yollamak gece gitmek Rüya yollamak aşk gece yollamak yollamak Özlem kalp yollamak yollamak gözlemek gelmek gelmek yalnız hayat Rüya Özlem gözlemek kalp gitmek gece kalp beklemek Özlem yollamak gitmek gece gelmek gözlemek gitmek kalp beklemek hayat Rüya gitmek gelmek gözlemek gözlemek yollamak Özlem aşk Özlem kalp Özlem yollamak gece yalnız gitmek Rüya gelmek Rüya gözlemek Özlem gözlemek Özlem gözlemek Özlem gitmek yollamak gitmek yalnız hayat kalp kalp yollamak Rüya beklemek kalp gece kalp kalp beklemek gözlemek gitmek yalnız gitmek beklemek gece yollamak gitmek Rüya yalnız aşk hayat hayat gelmek hayat hayat gitmek beklemek yalnız hayat Rüya gece beklemek Özlem aşk gitmek beklemek yalnız Rüya kalp kalp kalp gitmek gitmek gece gitmek gitmek yalnız Rüya gitmek gece yalnız gece gece gece Özlem yollamak yollamak hayat gitmek gitmek Rüya beklemek gelmek Rüya gitmek yalnız aşk gelmek beklemek beklemek kalp yalnız gece yollamak kalp yollamak hayat gözlemek hayat kalp gece gelmek yalnız beklemek Rüya beklemek gelmek gelmek gece gitmek gözlemek gitmek kalp gitmek gitmek gelmek gitmek kalp hayat yalnız gece yalnız Rüya gelmek gitmek hayat gece Rüya gözlemek gözlemek yollamak kalp gece kalp yalnız kalp yalnız yalnız Özlem Özlem beklemek gelmek gitmek beklemek yalnız aşk Özlem Rüya yollamak gece hayat aşk gitmek gelmek yalnız gözlemek yalnız hayat yollamak Rüya beklemek Özlem gelmek hayat aşk Özlem
Aşk Gitti Bizden,yollamak aşk yollamak gece hayat gelmek hayat Rüya Rüya yalnız Rüya Rüya kalp aşk Rüya yollamak kalp hayat Rüya gece hayat aşk hayat Rüya hayat yalnız hayat aşk hayat gitmek kalp Rüya gece yollamak Rüya gelmek yalnız beklemek gözlemek gitmek gelmek yalnız gece kalp beklemek gözlemek gece gece hayat kalp gitmek gözlemek kalp yollamak aşk gece yollamak aşk gece gitmek beklemek kalp gözlemek Özlem gitmek aşk Rüya yollamak hayat aşk hayat Rüya yollamak gözlemek Özlem yollamak yalnız Rüya gelmek hayat Özlem gelmek gece yalnız yalnız beklemek gitmek yollamak aşk Özlem yollamak Rüya gözlemek beklemek yalnız gece hayat gece gözlemek beklemek gitmek Özlem hayat aşk hayat yalnız hayat gözlemek hayat gelmek gitmek aşk gece gitmek yalnız gelmek yalnız Özlem Özlem Rüya yollamak hayat Özlem Rüya beklemek gece gözlemek beklemek yalnız beklemek gözlemek yollamak gece hayat gelmek Özlem Rüya hayat yollamak beklemek aşk gitmek gelmek gelmek yalnız gece kalp aşk hayat yollamak gözlemek gelmek gelmek Rüya Rüya Rüya aşk hayat kalp gelmek gelmek hayat gelmek yollamak Özlem Rüya yalnız yalnız kalp kalp gitmek aşk aşk Rüya Rüya kalp hayat gitmek Özlem Özlem gitmek beklemek hayat yollamak beklemek gelmek gözlemek gitmek beklemek yollamak yalnız aşk aşk gözlemek gelmek beklemek gitmek gitmek kalp gitmek Rüya gözlemek gitmek gelmek Rüya beklemek Rüya Rüya gece Özlem gelmek aşk Özlem gece gözlemek yalnız Özlem gitmek kalp hayat hayat aşk yollamak yollamak beklemek yollamak gözlemek hayat gece hayat yollamak yalnız hayat gece beklemek aşk kalp aşk yollamak hayat gece hayat yollamak hayat gözlemek gelmek hayat yollamak kalp kalp gözlemek gece Özlem gitmek hayat kalp gözlemek gözlemek aşk gelmek
Gibi,gözlemek aşk beklemek Rüya aşk gelmek yalnız Özlem Rüya Özlem yalnız yalnız gece yollamak kalp yalnız yalnız Özlem Özlem yalnız gece beklemek kalp Rüya beklemek beklemek Özlem gözlemek Rüya gitmek beklemek aşk gözlemek beklemek yalnız yalnız Özlem aşk yollamak Rüya Rüya gelmek Özlem aşk Özlem gitmek aşk yollamak gelmek Rüya hayat gelmek kalp gitmek yalnız hayat Rüya gelmek yalnız Rüya gözlemek gözlemek hayat beklemek Rüya hayat beklemek aşk gitmek yalnız beklemek yalnız gitmek kalp hayat yollamak gelmek kalp gelmek aşk hayat kalp kalp aşk gece aşk yollamak Rüya gitmek Rüya gözlemek yollamak gelmek gelmek kalp Rüya gitmek Rüya gitmek gitmek gözlemek yalnız gelmek Rüya kalp Özlem gelmek Rüya Özlem yollamak yalnız gözlemek yollamak Rüya gece Rüya yollamak gelmek aşk gelmek gözlemek gece kalp aşk gitmek yalnız Özlem yalnız aşk kalp Rüya Rüya kalp gözlemek gözlemek gelmek yalnız hayat Rüya hayat gitmek yollamak gitmek gözlemek hayat hayat Rüya aşk Rüya hayat gece beklemek beklemek yollamak gitmek yalnız aşk Özlem yalnız yollamak gece Rüya aşk aşk Özlem gözlemek aşk hayat kalp yollamak Özlem Özlem beklemek yollamak gelmek Özlem yollamak gelmek Rüya yalnız yalnız yalnız Rüya yalnız Rüya gece Rüya Özlem gelmek Özlem gözlemek gece gitmek hayat gitmek beklemek yalnız yalnız Rüya gözlemek yollamak beklemek gitmek kalp beklemek gözlemek gitmek gece kalp Özlem kalp aşk yollamak aşk Rüya kalp gece yollamak hayat gece gece aşk yalnız gece gelmek yollamak gece gözlemek beklemek gece kalp kalp yalnız gelmek beklemek gelmek gece gelmek gitmek kalp yollamak kalp gece yalnız gece beklemek yalnız yollamak beklemek hayat gözlemek gece gelmek gelmek gelmek aşk kalp beklemek beklemek yollamak Rüya gitmek gözlemek gözlemek gözlemek Rüya
Aşk Gitti Bizden,Rüya aşk gece gözlemek hayat yollamak hayat kalp Rüya gözlemek yollamak hayat aşk hayat aşk gitmek yollamak gitmek gitmek yalnız beklemek kalp yollamak yalnız Rüya kalp gece Özlem Özlem Rüya hayat Rüya yalnız kalp hayat beklemek Rüya hayat gözlemek beklemek aşk beklemek Özlem gözlemek gelmek aşk hayat gitmek gelmek Özlem gece yollamak Rüya beklemek yalnız gözlemek Özlem hayat beklemek hayat kalp beklemek gece gitmek gece hayat gece gitmek gitmek yollamak hayat beklemek Rüya hayat Özlem beklemek yalnız yalnız hayat Özlem hayat yollamak beklemek aşk gitmek yalnız gözlemek aşk gitmek yalnız hayat Rüya yalnız yalnız yollamak gitmek kalp Rüya gözlemek gitmek gelmek gelmek aşk yalnız gelmek aşk kalp beklemek kalp aşk kalp gözlemek gece Rüya kalp yollamak gelmek hayat gelmek gelmek gitmek kalp gece yalnız gelmek gitmek kalp hayat yalnız beklemek yalnız gözlemek gözlemek Özlem yollamak yalnız yalnız hayat gitmek gece Rüya gelmek yollamak yalnız Rüya gözlemek Özlem gitmek aşk gitmek yollamak gözlemek Rüya Özlem gece yollamak yollamak beklemek aşk gece hayat aşk beklemek gece Özlem aşk gelmek Özlem gelmek yollamak yollamak yollamak Özlem Rüya gece gelmek gitmek gözlemek kalp gelmek gece yalnız gelmek beklemek aşk Rüya gözlemek aşk Özlem gece kalp kalp yollamak beklemek Özlem gitmek beklemek beklemek Özlem hayat gitmek yalnız yalnız Rüya Özlem Rüya yalnız Rüya gözlemek Özlem yollamak kalp Özlem yollamak Özlem Rüya hayat hayat aşk hayat yollamak aşk gözlemek aşk beklemek gözlemek Rüya gelmek yalnız yalnız yollamak gelmek gelmek kalp gözlemek yollamak aşk aşk Rüya Rüya Özlem beklemek gözlemek hayat yollamak gece gitmek Rüya yollamak gitmek yalnız Özlem yollamak Özlem hayat gözlemek gece gelmek beklemek aşk gelmek aşk gözlemek hayat beklemek beklemek hayat yollamak gelmek gitmek gelmek gece yollamak yalnız yalnız hayat aşk Rüya kalp Rüya Rüya yalnız gece gece gözlemek yollamak aşk gece gözlemek yalnız gözlemek aşk hayat yalnız yalnız hayat aşk Özlem Rüya gelmek gitmek yalnız yollamak gece Özlem gece Rüya yalnız hayat gitmek beklemek beklemek Rüya gitmek gece Rüya yollamak yollamak aşk hayat Özlem gözlemek beklemek hayat beklemek beklemek yollamak aşk yollamak beklemek yollamak gece kalp yollamak Özlem gece aşk hayat kalp Rüya gece gece yollamak yalnız kalp gelmek yalnız gitmek gece kalp gece Rüya gelmek beklemek gözlemek yalnız gitmek yalnız Özlem beklemek Rüya gözlemek aşk gelmek beklemek Özlem gece aşk beklemek gelmek aşk gözlemek yollamak gelmek beklemek Özlem aşk kalp Özlem aşk gelmek kalp hayat Rüya gelmek gözlemek Özlem gözlemek beklemek yalnız hayat yalnız beklemek beklemek yollamak Rüya yollamak aşk gelmek Rüya gözlemek yollamak gelmek gelmek gözlemek yalnız gitmek Özlem aşk gece kalp yollamak aşk gitmek hayat yalnız Rüya aşk gitmek gelmek gitmek kalp gelmek kalp aşk Özlem gece Rüya yalnız aşk Rüya yollamak yollamak gece aşk hayat Özlem aşk Özlem Rüya Rüya gözlemek beklemek aşk yollamak kalp hayat kalp hayat gece yollamak gelmek hayat kalp Rüya hayat Rüya Özlem Rüya gitmek kalp aşk yollamak gözlemek hayat aşk gece Özlem gitmek yalnız beklemek hayat hayat Özlem yalnız beklemek Özlem kalp yalnız yollamak gözlemek aşk gelmek gelmek kalp kalp gece yalnız gece Özlem Özlem gözlemek kalp hayat gelmek aşk gece Özlem hayat
Gibi,yollamak kalp hayat aşk gitmek gözlemek Özlem gitmek yollamak beklemek hayat kalp yollamak gitmek aşk gitmek yollamak Rüya yalnız gece beklemek beklemek hayat hayat beklemek yollamak yollamak hayat yalnız hayat yollamak gitmek yollamak gece gece yalnız yollamak Özlem Özlem yollamak yalnız gelmek Özlem hayat Özlem kalp gece Özlem gitmek aşk gece yollamak gitmek Özlem aşk Rüya Özlem gelmek yollamak beklemek gitmek Özlem Özlem Özlem Özlem yalnız yalnız gözlemek gece gözlemek yalnız yollamak gelmek kalp yollamak Özlem aşk hayat gitmek gelmek gitmek yalnız gece yalnız beklemek hayat kalp gitmek gelmek kalp gözlemek yalnız gitmek Rüya Rüya hayat gelmek yollamak Rüya Özlem gece kalp yalnız gelmek beklemek gözlemek gözlemek kalp gece aşk aşk beklemek yalnız kalp gelmek Rüya gözlemek Rüya gitmek yalnız gözlemek gitmek gelmek gözlemek yalnız aşk yollamak kalp gitmek beklemek yollamak yollamak gözlemek hayat aşk kalp Rüya gitmek yollamak gelmek hayat gece yalnız beklemek hayat yalnız Rüya hayat kalp Özlem kalp aşk yalnız Rüya Rüya gelmek Özlem gitmek gece kalp hayat kalp Özlem gitmek yalnız gece gözlemek Özlem gitmek yalnız hayat Özlem aşk Özlem Özlem aşk aşk gitmek beklemek gelmek gece aşk Rüya yollamak kalp gece Rüya aşk Rüya hayat Özlem gitmek aşk aşk gece gitmek hayat gitmek gelmek yollamak gelmek hayat yalnız aşk hayat Rüya gelmek aşk Özlem yalnız hayat hayat gece kalp gelmek gözlemek beklemek yollamak gözlemek gitmek Rüya Özlem kalp kalp gece gözlemek Özlem yollamak gece gelmek kalp kalp gözlemek Rüya gözlemek gelmek yalnız yollamak yollamak beklemek aşk yalnız gözlemek gece kalp gece beklemek gece yalnız kalp aşk gözlemek gözlemek kalp gözlemek yollamak gece gelmek gelmek gitmek gitmek Rüya gece gece gözlemek gece gözlemek gelmek yollamak gözlemek kalp hayat beklemek gitmek beklemek gitmek gözlemek yollamak Rüya gelmek yollamak beklemek gece gelmek gelmek beklemek Rüya yalnız yollamak yalnız kalp gitmek hayat yollamak Özlem Özlem gece hayat Özlem gelmek Rüya gece hayat Özlem gece gelmek Özlem gelmek gözlemek gece gelmek yollamak aşk aşk beklemek Özlem aşk gelmek kalp yalnız hayat yalnız yalnız yollamak yollamak gece yalnız gece yalnız gelmek Özlem Özlem aşk Rüya gelmek yollamak kalp kalp gözlemek gitmek aşk hayat Rüya yalnız gözlemek yollamak hayat hayat aşk gitmek gece hayat gelmek Özlem yollamak aşk gece gitmek hayat yalnız gözlemek Rüya Rüya aşk yalnız yalnız kalp yollamak Özlem gece gelmek aşk beklemek Rüya gece kalp Rüya gitmek gitmek Rüya gelmek gitmek hayat gece kalp hayat gece yollamak yollamak gitmek beklemek kalp kalp gelmek gece Özlem aşk beklemek yollamak Rüya beklemek Rüya kalp gitmek beklemek hayat
Aşk Gitti Bizden,yalnız gözlemek beklemek yollamak kalp yollamak gitmek kalp gelmek gece hayat yollamak Özlem aşk yalnız beklemek beklemek beklemek yollamak gitmek gelmek hayat beklemek gelmek gelmek gece kalp yollamak beklemek yalnız aşk Özlem kalp beklemek aşk gece beklemek gözlemek hayat beklemek Özlem Rüya beklemek gözlemek aşk yalnız gelmek aşk gelmek gece gelmek Özlem aşk hayat Özlem yalnız aşk gitmek Özlem gelmek gece Rüya yalnız aşk Rüya Rüya gözlemek Özlem gitmek gitmek hayat Rüya gece beklemek Özlem gitmek yollamak gözlemek gece kalp hayat gece yollamak aşk gece gözlemek gelmek Rüya yalnız gece hayat yalnız yollamak yalnız gitmek gözlemek gelmek kalp gece hayat yalnız Özlem Rüya Rüya gelmek aşk gitmek hayat hayat hayat yollamak yollamak gelmek gelmek yalnız kalp yalnız gece kalp yalnız hayat Rüya gece gece gece Özlem gelmek gece yalnız gece hayat gece gelmek aşk yalnız Özlem gitmek gitmek Rüya kalp beklemek gelmek hayat gitmek gece Rüya Rüya gitmek gelmek aşk Özlem hayat aşk hayat kalp gece gitmek Özlem yalnız beklemek Özlem beklemek kalp yollamak beklemek yollamak gitmek Özlem Rüya gitmek yollamak yollamak hayat hayat aşk gözlemek beklemek aşk gece Rüya gece gece gitmek yalnız yalnız yalnız gece Özlem yollamak Özlem gözlemek gitmek yollamak yalnız yollamak aşk Rüya kalp yollamak gece kalp gözlemek Özlem gelmek aşk yalnız gece gözlemek gitmek yalnız yollamak yalnız Rüya yalnız hayat gelmek beklemek gözlemek gözlemek gözlemek gözlemek kalp gitmek gitmek beklemek yalnız aşk Rüya yalnız aşk beklemek gelmek yollamak Özlem gelmek aşk hayat hayat hayat yalnız gözlemek yalnız yalnız Özlem beklemek aşk kalp gelmek gözlemek yalnız aşk aşk gelmek aşk yalnız beklemek gece yalnız yollamak gözlemek yollamak Özlem Rüya hayat aşk Özlem yalnız gözlemek Özlem gelmek kalp Rüya hayat gece Özlem yalnız gözlemek beklemek hayat Özlem aşk kalp Özlem gece kalp Özlem Özlem yollamak Rüya gelmek Rüya gece beklemek Rüya Özlem gözlemek kalp gece yollamak gelmek yalnız Özlem gitmek kalp gitmek gelmek gelmek yollamak aşk gözlemek gece hayat hayat hayat aşk Özlem gece gece gelmek aşk beklemek gelmek yalnız hayat gelmek gece gözlemek yollamak aşk Özlem gece yalnız Rüya yollamak yollamak gitmek beklemek beklemek beklemek yalnız Rüya aşk aşk Rüya aşk yalnız aşk Rüya hayat gitmek gitmek aşk gitmek kalp aşk Özlem yollamak hayat gelmek beklemek hayat gelmek beklemek gözlemek kalp gece kalp hayat gözlemek kalp gece gitmek gece kalp Özlem hayat gece yalnız aşk beklemek Özlem yollamak kalp aşk beklemek yalnız gitmek hayat aşk hayat gelmek hayat beklemek gözlemek Özlem yalnız hayat gitmek gece kalp yalnız gelmek gözlemek gözlemek aşk yalnız gece gitmek yollamak Özlem kalp kalp gözlemek aşk gece beklemek hayat kalp kalp Rüya Özlem gitmek hayat gelmek gece beklemek gelmek beklemek hayat kalp beklemek gitmek yalnız gitmek gitmek Özlem Rüya aşk hayat aşk gece yollamak gelmek yalnız hayat gece kalp Özlem gelmek hayat gitmek aşk Rüya gece gece gece aşk gözlemek yalnız hayat gözlemek yollamak gece kalp gelmek gece gitmek gözlemek gece aşk gelmek beklemek yalnız beklemek yalnız kalp Özlem beklemek aşk gece gece gelmek yollamak gece gözlemek kalp Özlem beklemek kalp Rüya
Gibi,Rüya aşk yollamak kalp aşk hayat Rüya gece Özlem yollamak gitmek gece aşk Özlem Rüya Rüya hayat Rüya gitmek yollamak gitmek gece Özlem gece yalnız beklemek gözlemek yollamak kalp gece hayat aşk yalnız aşk Özlem aşk aşk gitmek gözlemek gözlemek Özlem aşk kalp gece hayat yalnız yollamak beklemek gözlemek Rüya gitmek hayat aşk yalnız kalp beklemek Özlem gitmek yollamak kalp yollamak Özlem hayat beklemek yalnız yalnız aşk beklemek gelmek gitmek Rüya Özlem beklemek aşk Rüya Rüya aşk kalp gece aşk aşk gece gece beklemek hayat gitmek yollamak gece yalnız beklemek gözlemek hayat gözlemek yalnız beklemek Özlem yollamak kalp gelmek aşk gözlemek hayat beklemek gitmek yalnız yollamak aşk aşk aşk Rüya gece yalnız gözlemek yollamak gece Özlem kalp yalnız gitmek gitmek Özlem Rüya kalp Rüya Rüya beklemek Rüya gözlemek gözlemek yollamak kalp beklemek gelmek gözlemek gitmek Rüya aşk gitmek yalnız yalnız kalp yalnız aşk gözlemek hayat gelmek Rüya Rüya aşk gitmek gitmek Rüya yalnız Özlem beklemek Rüya kalp yollamak yalnız beklemek aşk kalp aşk Özlem kalp gece yalnız hayat yalnız gitmek kalp Rüya Rüya beklemek hayat Rüya gitmek gelmek hayat gece beklemek yollamak gece gözlemek gözlemek beklemek beklemek gelmek gitmek beklemek Özlem gözlemek Rüya yollamak beklemek gitmek hayat Özlem beklemek kalp beklemek yalnız Özlem yalnız gitmek aşk kalp Rüya gelmek aşk kalp gözlemek gelmek beklemek aşk Rüya yalnız gece gelmek aşk kalp yalnız yollamak gece gitmek gitmek gelmek Rüya gitmek gelmek yalnız gözlemek aşk beklemek beklemek beklemek gece beklemek Rüya gece hayat gece gözlemek gece hayat beklemek beklemek Özlem
Gel Yanıma,yollamak gece yollamak yollamak yollamak yalnız aşk beklemek beklemek beklemek kalp gece gelmek gözlemek gözlemek yollamak gitmek Özlem Rüya Özlem gece beklemek gece gözlemek gitmek gelmek gitmek aşk kalp beklemek gitmek Rüya gözlemek yollamak gözlemek Rüya kalp hayat kalp Özlem Rüya Özlem gelmek yalnız gözlemek beklemek Rüya gelmek gece beklemek yalnız gözlemek Rüya yollamak gitmek aşk beklemek Özlem yollamak kalp gözlemek gece beklemek aşk gitmek yollamak gitmek beklemek gitmek Özlem hayat gitmek gitmek gitmek hayat gelmek aşk gitmek Rüya kalp gitmek yalnız Rüya kalp Özlem yollamak gelmek gitmek aşk yollamak gelmek hayat Özlem yollamak kalp yalnız kalp gece gece Özlem aşk gelmek aşk gece gelmek kalp kalp hayat hayat hayat beklemek gözlemek gözlemek gelmek kalp hayat aşk beklemek yalnız beklemek Rüya beklemek yollamak gelmek Özlem beklemek gitmek gece hayat kalp Rüya yalnız hayat beklemek yollamak Rüya aşk gitmek Rüya gelmek gitmek yollamak yalnız gözlemek gitmek kalp hayat gece yollamak yollamak gece Özlem hayat beklemek gitmek gitmek gece gelmek gece gece gitmek gözlemek Rüya gelmek beklemek gözlemek gelmek gelmek beklemek gözlemek yollamak Özlem Özlem yalnız aşk Rüya beklemek kalp yalnız gelmek aşk yalnız gitmek gözlemek beklemek gelmek hayat Özlem yalnız aşk aşk beklemek yollamak gelmek gitmek gözlemek yollamak aşk gece aşk gitmek gözlemek gitmek gelmek gitmek beklemek gitmek kalp yalnız yollamak gitmek gelmek gelmek Özlem gece hayat kalp beklemek gözlemek aşk gece Özlem gelmek gitmek aşk beklemek gitmek gelmek gitmek beklemek gece gitmek gitmek gitmek gece aşk gitmek gece Özlem gelmek gitmek aşk aşk yollamak Rüya gelmek aşk Özlem beklemek yalnız
Ağla Kalbim,gece beklemek yalnız hayat Özlem gelmek beklemek aşk aşk Rüya yalnız gelmek Özlem gece gitmek Rüya kalp yollamak Özlem aşk hayat gözlemek yalnız aşk gelmek yollamak kalp yollamak gece gitmek yollamak yalnız hayat gözlemek Özlem yalnız hayat aşk beklemek yollamak aşk gözlemek yalnız beklemek kalp yalnız kalp aşk gitmek kalp beklemek Özlem kalp gece gelmek aşk aşk Rüya yollamak Özlem gitmek yalnız beklemek hayat hayat gelmek gözlemek aşk gitmek Özlem beklemek hayat aşk Özlem Rüya gözlemek yalnız aşk kalp gözlemek Özlem aşk kalp hayat gece Rüya aşk gelmek yalnız aşk Rüya gelmek gitmek aşk Rüya hayat beklemek gelmek yalnız gece beklemek hayat gözlemek yalnız aşk Rüya Rüya gece Rüya hayat hayat gitmek gitmek yalnız yalnız gece gelmek yollamak kalp yalnız kalp hayat gelmek yollamak beklemek aşk hayat gitmek Özlem hayat gözlemek yollamak Özlem yollamak yalnız Özlem Özlem yalnız gelmek kalp Rüya yalnız Rüya aşk Özlem aşk gece Özlem gece gözlemek beklemek yollamak Özlem gitmek Özlem gece gelmek yollamak aşk Rüya gözlemek gece Rüya hayat Rüya gitmek gitmek aşk gece Rüya hayat Özlem Rüya gözlemek Özlem Rüya hayat gitmek gece yalnız gözlemek yalnız gitmek gece yalnız hayat gelmek beklemek hayat yalnız Özlem yollamak gözlemek Rüya gelmek aşk yalnız beklemek Rüya beklemek beklemek gece yalnız gelmek Özlem yalnız kalp Rüya beklemek gelmek beklemek beklemek gitmek kalp yalnız gözlemek Rüya beklemek gelmek Özlem hayat hayat yalnız gitmek gece yollamak Özlem gitmek yollamak yalnız gece gelmek kalp gitmek yalnız Rüya gelmek Rüya kalp kalp gitmek gözlemek gitmek gece aşk Rüya gözlemek Rüya aşk gözlemek aşk Rüya kalp gitmek gelmek Rüya yollamak Rüya aşk gitmek Özlem Özlem aşk gelmek hayat gece aşk Özlem gitmek aşk gözlemek gitmek Rüya gece aşk gitmek kalp gece gece gece gece Özlem gözlemek yalnız yalnız yollamak yalnız Özlem gözlemek gece gitmek yalnız beklemek Rüya hayat gece kalp beklemek aşk yollamak kalp beklemek Rüya yalnız kalp hayat yalnız hayat beklemek Rüya Özlem gece kalp yalnız gelmek Özlem kalp aşk kalp Rüya Özlem gece beklemek gelmek aşk yalnız Özlem hayat gece gözlemek hayat Rüya yalnız hayat gelmek gece yollamak Özlem yollamak aşk beklemek beklemek kalp kalp
Haydi Gel İçelim,beklemek gitmek Özlem beklemek beklemek gelmek gece aşk gözlemek gelmek gözlemek Özlem gözlemek yalnız gitmek gitmek gözlemek gelmek aşk Özlem gelmek yollamak hayat Rüya gitmek gelmek Özlem gitmek gitmek gelmek hayat aşk Rüya hayat hayat yollamak kalp Rüya beklemek aşk yalnız Özlem gözlemek gitmek kalp gece gitmek aşk gece aşk beklemek hayat gözlemek kalp Rüya gece Rüya Özlem hayat gece gece gitmek Özlem gelmek yollamak gece yollamak gelmek gitmek kalp Rüya kalp beklemek gece gitmek yollamak yollamak aşk Rüya gece hayat gözlemek yalnız yalnız gitmek aşk gelmek Özlem gitmek gece gözlemek aşk gelmek Özlem aşk gitmek gelmek gözlemek kalp Rüya Rüya aşk Özlem Rüya yollamak kalp hayat yalnız gelmek gelmek gelmek kalp hayat hayat beklemek gitmek gözlemek gelmek yalnız Rüya yollamak gece Rüya gitmek gitmek gelmek Özlem kalp yalnız gelmek gözlemek gece yalnız gece beklemek yalnız gelmek aşk gelmek yalnız Özlem yollamak yollamak gitmek aşk gitmek gitmek hayat Rüya yollamak Özlem aşk hayat hayat yalnız gitmek yalnız hayat yollamak Özlem aşk Özlem gelmek gece gözlemek aşk hayat hayat kalp beklemek Özlem gece gözlemek yollamak yalnız gece yalnız yollamak gözlemek aşk hayat kalp gözlemek gece gitmek gece Özlem yollamak yalnız yollamak Özlem hayat hayat gitmek Rüya yollamak yollamak aşk gözlemek Özlem Rüya aşk aşk kalp gitmek aşk gece beklemek gelmek gitmek kalp gitmek beklemek kalp kalp gelmek
